r_id,rm_name,amount
1,bread,10000
1,garlic,10000
1,tomato,10000
1,basil,10000
1,mozzarella,10000
1,chicken_breast,10000
1,ground_beef,10000
1,lasagna_pasta,10000
1,parmesan_cheese,10000
1,chocolate,10000
1,vanilla,10000
1,flour,10000
1,sugar,10000
1,lettuce,10000
1,croutons,10000
1,caesar_dressing,10000
1,cucumber,10000
1,feta_cheese,10000
1,tuna,10000
1,ham,10000
1,cheddar_cheese,10000
1,potatoes,10000
1,butter,10000
1,onion,10000
1,sweet_potato,10000
1,lentils,10000
1,pumpkin,10000
1,bacon,10000
1,pancake_mix,10000
1,quinoa,10000
1,chickpeas,10000
1,carbonated_water,10000
1,cola_syrup,10000
1,wine_red,10000
1,wine_white,10000
1,beer_lager,10000
1,beer_ipa,10000
1,coffee_beans,10000
1,tea_black,10000
1,tea_green,10000
1,orange,10000
1,apple,10000
1,pineapple,10000
1,carrot,10000
1,mint,10000
1,lime,10000
1,sugar_syrup,10000
1,white_rum,10000
1,tequila,10000
1,vodka,10000
1,whiskey,10000
1,gin,10000
1,tonic_water,10000
1,campari,10000
1,eggs,100
