r_id,rm_name,amount
2,white_rum,410.0
2,pineapple,4850.0
2,bread,360.0
2,ham,270.0
2,mozzarella,1100.0
2,tomato,870.0
2,basil,175.0
2,pumpkin,800.0
2,onion,1540.0
2,potatoes,570.0
2,lime,850.0
2,wine_white,5250.0
2,wine_red,1750.0
2,apple,600.0
2,lasagna_pasta,300.0
2,eggs,83.0
2,parmesan_cheese,60.0
2,carbonated_water,4160.0
2,beer_ipa,20.0
2,quinoa,1430.0
2,bacon,640.0
2,flour,1040.0
2,cola_syrup,2800.0
2,sugar,120.0
2,tequila,360.0
2,chicken_breast,1800.0
2,garlic,120.0
2,lettuce,90.0
2,cucumber,90.0
2,beer_lager,100.0
2,carrot,950.0
