r_id,product_name,amount
1,garlic_bread,9
1,chardonnay,8
1,margarita,5
1,craft_beer,1
1,apple_juice,7
1,chicken_noodle_soup,6
1,apple_juice,6
1,margarita,1
1,chicken_sandwich,8
1,margarita,7
1,bruschetta,8
1,greek_salad,2
1,cola,2
1,margarita,4
1,red_wine,4
1,grilled_chicken,7
1,chocolate_cake,5
1,cola,10
1,whiskey_neat,3
1,pancakes,6
1,tomato_soup,1
1,malbec,3
1,tuna_melt,9
1,bruschetta,10
1,cola,9
1,chicken_sandwich,8
1,tuna_melt,1
1,lager_beer,6
1,mashed_potatoes,8
1,green_tea,8
1,malbec,5
1,chicken_sandwich,10
1,orange_juice,2
1,tomato_soup,9
1,tomato_soup,2
1,bruschetta,6
1,lager_beer,6
1,espresso,4
1,greek_salad,7
1,malbec,1
1,ipa_beer,1
1,apple_juice,2
1,chicken_noodle_soup,5
1,pancakes,6
1,malbec,4
1,cola,5
1,cola,9
1,espresso,3
1,greek_salad,9
1,vodka_shot,8
